Filename,Change of Control,Anti-assignment
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"Notwithstanding the foregoing, each Party may assign the rights and obligations under this Agreement in whole, without consent of the other Party, to a Third Party or Affiliate in connection with the transfer or sale of all or substantially all of its business or in the event of a merger, consolidation or change in control provided that the assignee assumes in writing and becomes directly obligated to the other Party to perform all of the obligations of assignor under this Agreement. (Page 21)","The Parties shall not assign, encumber or otherwise transfer this Agreement or any part of it to any Third Party, without the prior written consent of the other Party. (Page 21)"
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,"ExxonMobil may terminate this Agreement upon fifteen (15) days written notice, without penalty, payment or prejudice to claims and obligations then accrued, if FCE undergoes a Change in Control. (Page 17)  Subject to requirements of applicable law, FCE will provide notice to ExxonMobil prior to, or promptly after, it becomes aware of any such Change in Control, and if prior notice is prohibited by applicable Law, as soon as practicable or after such notice is no longer prohibited, but in no event later than one (1) business day after any public announcement with respect to any such asset transfer or Change in Control. (Page 17)  Notwithstanding anything else in this Agreement, in the event of termination under this Paragraph 12.04 ExxonMobil may terminate any licenses granted to FCE under this Agreement that would otherwise survive termination, taking into account the circumstances surrounding the Change in Control. (Page 17)","The Agreement is not assignable, including any assignment by operation of law (including but not limited to as a result of a merger or other corporate action), by either Party without the prior written consent of the other Party. (Page 20)  Notwithstanding the foregoing, ExxonMobil may assign this Agreement to its Affiliates and FCE may assign this Agreement to any of its wholly-owned and wholly-controlled Affiliates, with prior written notice to the other Party, provided that (i) such assignment by FCE shall be void if at any point such Affiliate ceases to be both wholly-owned and wholly- controlled by FCE, (ii) Article 12, including but not limited to Paragraphs 12.03, 12.04 and 12.05, shall be applicable to both FCE and any Affiliate assignee of FCE, and (iii) no assignment pursuant to this sentence will relieve the Parties of their obligations under this Agreement. (Page 20)"
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,,"Company may not assign or transfer its rights or obligations under this Agreement, whether by operation of law, contract or otherwise, without the prior written consent of Reed’s, which shall not be unreasonably withheld (it being understood that a purported assignment to a Reed’s competitor identified or referred to in Exhibit D of the Manufacturing and Distribution Agreement shall be considered to be a reasonable basis for withholding consent). (Page 6)"
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,,"The Distributor shall not sub-license, transfer or otherwise deal with the rights of use of the Trade Marks granted under this agreement. (Page 8)  Without affecting any other rights that it may be entitled to, the Supplier may give notice in writing to the Distributor terminating this agreement immediately if the Distributor purports to assign its rights or obligations under this agreement to an entity that is not (1) affiliated with, (2) related to, or (3) sharing common ownership with the Distributor (a Permitted Assignee). (Page 11)  The Distributor shall not assign, transfer, mortgage, charge, declare a trust of or deal in any other manner with this agreement or any of its rights and obligations under or arising out of this agreement, or purport to do any of the same; provided, however, the Distributor may assign or transfer this agreement to a Permitted Assignee without the consent of Supplier. (Page 13)  The Distributor shall not sub-contract or delegate in any manner any or all of its obligations under this agreement to any third party or agent. (Page 13)"
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,,"Neither Party shall assign, pledge or otherwise transfer any of its rights, interest or obligations hereunder, whether by operation of law or otherwise, without the prior express written consent of the other Party. (Page 11)"
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,,"The Distributor shall not assign any of its rights, obligations or privileges (by operation of law or otherwise) hereunder without the prior written consent of JRVS. (Page 8)"
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,,"Distributor may not assign to any person any duties or obligations arising under this Agreement without Erchonia’s prior written consent (which consent may be withheld in Erchonia’s sole discretion). (Page 5)  Erchonia may not assign any duties or obligations arising under this Agreement, except to a successor who acquires substantially all of the assets of Erchonia. (Page 5)"
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,"This Agreement may be terminated as follows:  <omitted> (b) Immediately upon the occurrence of any of the following events and effective upon delivery of notice: <omitted> (8) by either Party, if Hydraspin undergoes a Change of Control <omitted> (Pages 10-11)  If termination is the result of a Change of Control, Distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the Change of Control, equal to the greater of the following 1) the aggregate amount of the Distributor Share received during the 18 months prior to the effective date of such Change of Control or 2) the aggregate amount of the Distributor Share received on the 30 days prior to the effective date of such Change of Control multiplied by 18. (Page 11)","Neither Party may assign any right, or delegate any duty under this Agreement, in whole or in part, without the prior written consent of the other Party, which shall not be unreasonably withheld or delayed. (Page 12)  Any attempted assignment without such consent shall be void and of no effect. (Page 12)  Notwithstanding anything contained in this Section to the contrary, Hydraspin may assign this Agreement upon written notice to Distributor to any entity which controls, is controlled by or under common control with Hydraspin or to any successor to or purchaser of all or substantially all of its assets or stock, by merger or otherwise. (Page 12)"
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,,Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either party without the prior written consent of the other party. (Page 5)
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,,Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either Party without the prior written consent of the other Party. (Page 12)
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,,"The Franchisee shall not be entitled to assign, transfer, encumber or dispose of any of its rights and or obligations under this Agreement, including to an affiliate, without the prior written consent of the Franchisor. (Page 7)"
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,,"This Agreement and the rights and obligations specified herein shall be binding upon the Parties and their respective legal successors and neither Party shall sell, transfer or assign this Agreement or any part, interest, right or obligation hereunder except that a Party shall have the right to transfer or assign this Agreement in whole (but not in part) to an Affiliated Company provided that: <omitted> a) such Affiliated Company expressly assumes, by written instrument, all of the obligations of the Party under this Agreement and thereby becomes a Party to this Agreement, and b) such Affiliated Company has adequate financial strength, resources and experience in the reasonable opinion of the other Party (such opinion to be obtained in writing in advance of any assignment), to comply with its obligations under this Agreement. Such assignment shall not release the assigning Party of its obligations under article 11 of this Agreement. (Pages 26-27)"
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,,"Neither Party may assign this Agreement or otherwise transfer in any way any of the rights and obligations arising out of this Agreement without the prior written consent of the other Party. (Page 7)  Any attempted assignment or delegation without such prior written consent, except as expressly set forth herein, will be void, or at the non-assigning Party's sole discretion, may be treated as fully binding upon and in force and effect against any such successor or assign. (Page 7)"
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,,"Neither party may assign this Agreement, in whole or in part, without the prior written consent of the other. (Page 9)  The assignment of this Agreement, in whole or in part, to any Affiliates in the United States or to a successor organization by merger or acquisition does not require the consent of the other. (Page 9)"
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"Notwithstanding the foregoing, if any Party to this Agreement (or any of its successors or permitted assigns) (a) shall enter into a consolidation or merger transaction in which such Party is not the surviving entity and the surviving entity acquires or assumes all or substantially all of such Party’s assets, (b) shall transfer all or substantially all of such Party’s assets to any Person or (c) shall assign this Agreement to such Party’s Affiliates, then, in each such case, the assigning Party (or its successors or permitted assigns, as applicable) shall ensure that the assignee or successor-in-interest expressly assumes in writing all of the obligations of the assigning Party under this Agreement, and the assigning Party shall not be required to seek consent, but shall provide written notice and evidence of such assignment, assumption or succession to the non-assigning Party. (Page 16)","Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party. (Page 16)  Any purported assignment without such consent shall be void. (Page 16)"
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"Without limiting ARTICLE VIII, the license granted to the SpinCo Group in Section 3.03(a) shall automatically terminate in the event (i) that any member of the SpinCo Group assigns, transfers, licenses or otherwise conveys any rights in or to the Honeywell Content to any third party or (ii) of (x) the sale of all or substantially all of the ownership interests <omitted> in, or the assets of, any member of the SpinCo Group in a single transaction or a series of related transactions to one or more third parties, (y) any direct or indirect acquisition, consolidation or merger of any member of the SpinCo Group by, with or into any third party or (z) any spin-off, public offering or other corporate reorganization or single transaction or series of related transactions in which direct or indirect control of any member of the SpinCo Group is transferred to one or more third parties, including by transferring an excess of fifty percent (50%) of such member of the SpinCo Group’s voting power, shares or equity, through a merger, consolidation, tender offer or similar transaction to one or more third parties. (Pages 10-11)  Notwithstanding the foregoing, if any Party to this Agreement (or any of its successors or permitted assigns) (a) shall enter into a consolidation or merger transaction in which such Party is not the surviving entity and the surviving entity acquires or assumes all or substantially all of such Party’s assets, (b) shall transfer all or substantially all of such Party’s assets to any Person or (c) shall assign this Agreement to such Party’s Affiliates, then, in each such case, the assigning Party (or its successors or permitted assigns, as applicable) shall ensure that the assignee or successor- in-interest expressly assumes in writing all of the obligations of the assigning Party under this Agreement, and the assigning Party shall not be required to seek consent, but shall provide written notice and evidence of such assignment, assumption or succession to the non-assigning Party. (Page 14)","Without limiting ARTICLE VIII, the license granted to the SpinCo Group in Section 3.03(a) shall automatically terminate in the event (i) that any member of the SpinCo Group assigns, transfers, licenses or otherwise conveys any rights in or to the Honeywell Content to any third party or (ii) of (x) the sale of all or substantially all of the ownership interests <omitted> in, or the assets of, any member of the SpinCo Group in a single transaction or a series of related transactions to one or more third parties, (y) any direct or indirect acquisition, consolidation or merger of any member of the SpinCo Group by, with or into any third party or (z) any spin-off, public offering or other corporate reorganization or single transaction or series of related transactions in which direct or indirect control of any member of the SpinCo Group is transferred to one or more third parties, including by transferring an excess of fifty percent (50%) of such member of the SpinCo Group’s voting power, shares or equity, through a merger, consolidation, tender offer or similar transaction to one or more third parties (Pages 10-11)  No Party or any member of its Group may assign or grant a license in or to any of its Intellectual Property Rights licensed to the other Party or any member of its Group pursuant to ARTICLE III or ARTICLE IV, unless such assignment or grant is subject to the licenses, covenants and restrictions set forth herein. (Page 12)  Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party. (Page 14)"
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,,"Any assignment or agreement or other transaction by Company that fails to be in complete compliance with this Article 3.07 or any other provision of this IP Agreement shall be null and void. (Page 5)  Investor will not assign to any Third Party any rights under this IP Agreement not specifically transferable by its terms without the prior written consent of Company, such consent not to be unreasonably withheld. (Page 10)"
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,,No Party may assign any rights under this Agreement or delegate any duties hereunder without the prior written consent of the other Party. (Page 13)
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,"In addition to and without limiting any other provision of this Agreement, if a Change of Control occurs at any time during the Term, PFHOF shall have the right to terminate this Agreement immediately upon giving notice of such termination to the Village Media Company. (Page 9)  For purposes of this Section 4.4, a “Change of Control” shall mean any transaction or series of related transactions that results in (including by way of merger or consolidation), or that is in connection with, the Village Media Company no longer being controlled (as defined in Section 1.2) by or under common control (as defined in Section 1.2) with HOFV. (Page 9)","The Village Media Company shall not, directly or indirectly, assign, sublicense or otherwise transfer any of its rights or obligations hereunder without the prior written consent of PFHOF. (Page 13)"
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,"In the event that Vyera experiences a Change of Control with a Third Party that is actively engaged in the Development, Manufacture or Commercialization of a Competitive Product, then, Vyera shall either: (a) within ninety (90) days after the closing of such Change of Control, enter into a binding written agreement to sell, transfer, assign or divest all of Vyera’s and/or its Affiliate’s rights in and to such Competitive Product to a non-Affiliate Third Party and consummate such sale, transfer, assignment or divestiture of said rights not later than ninety (90) days following the date of the binding Agreement; or (b) within six (6) months after the closing of such Change of Control, terminate any and all Development, Manufacturing, Commercialization and/or other exploitation of such Competitive Product; or (c) terminate this Agreement in accordance with Section 11.2(c). (Page 13)  A Change of Control shall be deemed an assignment for purposes of this Agreement. (Page 42)  For clarity, nothing in this Agreement shall prohibit Vyera from undergoing any Change of Control, but if Vyera undergoes a Change of Control, it will be subject to Section 2.6. (Page 42)","Vyera may not assign this Agreement, or any rights or obligations hereunder without the prior written consent of CytoDyn, not to be unreasonably withheld or delayed provided that Vyera may assign this Agreement without CytoDyn’s consent to an Affiliate or to a successor to substantially all of the business of Vyera to which this Agreement relates. (Page 42)  Any assignment or attempted assignment by Vyera in violation of the terms of this Section 14.6 shall be null, void and of no legal effect. (Page 42)  CytoDyn may assign this Agreement and its rights and obligations hereunder, in whole but not in part, to any Third Party not in a materially worse (financially and otherwise) of performing CytoDyn’s obligations hereunder without the prior written consent of Vyera (it being understood that any other assignment of this Agreement or any rights or obligations hereunder shall require the prior written consent of Vyera, not to be unreasonably withheld or delayed). (Page 42)"
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,"COMPANY will pay JHU a fee equal one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY, upon the occurrence of a Liquidity Event. (Page 13)  uch fee shall be paid after only the first to occur of either a Liquidation Event or an Initial Public Offering. The respective fees, when and if payable, shall be paid upon closing; except that if there are additional contingent amounts (“Trailing Consideration”) payable upon the occurrence of subsequent events, then the Trailing Consideration shall be due and payable to JHU within thirty (30) days after receipt thereof by COMPANY. (Page 13)  For a Liquidity Event, the fee required under Section 4.1 of this Exhibit A above shall be payable to JHU by COMPANY in the same form as the proceeds paid or payable to either COMPANY or its security holders, whether in cash, securities or other property, and in the same proportion as such form of consideration is paid or payable to COMPANY or its security holders. (Page 13)  Notwithstanding the foregoing, in the event the form of consideration paid or payable includes securities for which there is not an active public market, in lieu of paying that portion of the fee with such securities COMPANY will make a cash payment to JHU equal to the fair market value of such securities. (Page 13)","Company shall not sublicense to others under this Agreement, nor extend the rights granted hereunder to any affiliated company. (Page 3)  This Agreement is binding upon and shall inure to the benefit of JHU, its successors and assignees and shall not be assignable to another party, except that the Company shall have the right to assign this Agreement to another party in the case of the sale or transfer by the Company of all, or substantially all, of its assets relating to the LICENSED PRODUCT(S), LICENSED SERVICE(S) or PATENT RIGHT(S), to that party. (Page 7)"
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,"Subject to Section 3.5(b), in the event that Vendor, prior to Location Acceptance at all Cell Sites and without the prior written consent of AT&T, consummates (i) any sale, assignment, transfer, license, lease or conveyance of any interest in any Cell Site or any of the Material or Services contemplated in this Agreement or (ii) any Change of Control of Vendor to a Restricted Entity or to any other Person who, in AT&T’s reasonable discretion, lacks the financial or operational resources, skill or expertise to fulfill the obligations of Vendor contemplated by this Agreement, then AT&T may terminate this Agreement and exercise any other remedies available to AT&T under this Agreement or at law or equity, including any of its Termination Remedies set forth in the Build Addendum. (Page 15)  If, following Location Acceptance of all Cell Sites, Vendor consummates any Change of Control of Vendor to any Restricted Entity without the prior written consent of AT&T, then AT&T shall have the right, in its sole <omitted> discretion, to (x) immediately terminate the Maintenance Addendum without further liability or obligation (other than payment of Maintenance Fees for Maintenance Services performed prior to the date of such termination), but not this Agreement or the obligation to make the Structured Payments herein; and/or (y) prepay all of the remaining Structured Payments at any time in one lump sum payment without penalty, liability or obligations (including any “make- whole” obligation or Close-Out Costs (as such term is defined in the Build Addendum)). (Pages 15-16)","Neither Party may assign, delegate, or otherwise transfer any of its duties or obligations under this Agreement, voluntarily or involuntarily, without the prior written consent of the other Party (which shall not be unreasonably withheld, conditioned or delayed and which shall be signed by an authorized representative of the Party giving such consent); provided, however, that without the consent of Vendor, AT&T may assign its rights, or delegate its duties, or both, in whole or in part, to any present or future Affiliate of AT&T so long as AT&T Mobility LLC shall remain liable for such Affiliate’s failure to satisfy its obligations hereunder. (Page 15)  Each Party may assign its rights under the Agreement, but any assignment of rights will be void to the extent that (i) the assignment purports to impose upon the non-assigning Party additional costs or obligations or requires AT&T to make payments to any Person other than Vendor, (ii) the assignment purports to preclude AT&T from dealing solely and directly with Vendor in all matters pertaining to this Agreement, including with respect to payments of Structured Payments and Maintenance Fees or (iii) the assignee is a Restricted Entity. (Page 15)  Any assignment, delegation or transfer for which consent is required hereby and which is made without such consent given in writing will be void. (Page 16)"
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,,"This Agreement and all of the provisions hereof shall be binding upon and inure to the benefit of the Parties and their respective successors and permitted assigns (including by operation of law), but neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned by any Party, whether by operation of law or otherwise, without the prior written consent of the other Party; provided that either Party may collaterally assign its rights under this Agreement to any party providing debt or equity financing to such Party without the consent of the other Party. (Page 31)"
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,,"Neither Party shall have the right to assign or otherwise transfer its rights or obligations under this Agreement except with the prior written consent of the other Party, not to be unreasonably withheld or delayed. (Page 13)"
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,"This Agreement may be terminated: <omitted> in the event of a Change of Control, the Party which was not subject to the Change of Control may terminate this Agreement upon six (6) months advance written notification. (Page 9)  The affected Party is obligated to notify the other Party of its decision to terminate within thirty (30) days following notice of the Change of Control. (Page 9)  For purposes of this Agreement, any merger, consolidation, or change of corporate structure following which there is a Change of Control of Kitov shall be considered as an assignment by Kitov, allowing Dexcel to terminate the Agreement as heretofore provided. (Page 17)","Notwithstanding the aforesaid, either Party shall be entitled to assign, delegate, and/or subcontract its rights and obligation under this Agreement, in whole or in part, to one or more of its Affiliates on prior written notice to the other Party. (Page 17)  For purposes of this Agreement, any merger, consolidation, or change of corporate structure following which there is a Change of Control of Kitov shall be considered as an assignment by Kitov, allowing Dexcel to terminate the Agreement as heretofore provided. (Page 17)"
